ones,euclidean,minkowski1,minkowski3,cityblock,cosine,chebyshev,mahalanobis,geodistance,wind
271475.12942678033,271270.2570364863,271410.5769476462,271381.37549214886,271602.6303692537,271469.81141148816,271563.65306200756,271499.83897777414,271347.9647592292,Buffalo Gap Wind Farm
36727.70835720791,36734.4495897184,36758.623920944156,36736.485605283226,36726.89197350761,36738.38274863342,36732.07914830177,36791.17784228194,36733.40963077356,Bull Creek Wind Farm
52328.89841705079,52312.69591219303,52316.491813318244,52358.22426007285,52309.49928793035,52371.56319386772,52326.29789964027,52328.36977321438,52347.32084502607,Cabezon Wind
20996.76293034355,21016.885532783584,21003.484952099385,21012.31137645808,21011.322860216274,21009.44873161536,21013.42862368796,21012.073208451126,21024.19725264658,Cactus Flats Wind
12938.429266284078,12941.526997301207,12936.760349573136,12929.84572342842,12943.001927463083,12936.02326393805,12938.852841360096,12937.616523166042,12927.897935869534,Callahan Divide Wind Energy Center
15081.473221605642,15073.923560075531,15076.793101794374,15075.773899793989,15075.119515933608,15078.268668149849,15081.572069674667,15081.487109579726,15074.54188909406,Cameron
65560.69019006788,65600.10971510748,65623.17395782567,65526.64295097795,65596.6343794696,65594.75652759706,65578.29048401129,65600.01298308607,65631.51073807372,Camp Springs II Wind Farm
69002.01288542047,69067.97113099157,69004.1336819536,68978.61113043383,69006.30461372368,69044.50907294733,69042.02715397377,68951.45916748095,68953.90054045156,Canadian Breaks Wind
137120.83070416006,137302.62212511123,137118.510147994,137208.38557408747,137167.40591367093,137105.0178832337,137184.75472853205,137182.37850698584,137132.25433878019,Canyon Wind
990.2292655535455,989.5613592955136,990.0431971781745,989.6314935848311,989.6216047429963,989.9090609924189,990.7165451216752,989.9671458287801,990.3550042835965,Capricorn I & III repower
78.68677533362951,78.71998964856961,78.70604989226933,78.69890028959098,78.67157843519884,78.719775585663,78.709320152016,78.72855190432249,78.75576865446655,Capricorn IV repower
521796.9210454794,521809.53259620344,522015.19015944,521698.0667181735,521830.3261775187,521919.50880488777,521954.64846458787,521900.7918794213,521958.2126606229,Capricorn Ridge
59061.63455017303,59059.83295838303,59045.93151873076,59129.13717900544,59005.01427249678,59082.71661107948,59083.79376853979,59056.20981919904,59059.709468255314,Cattleman Wind A
57996.43616745065,58020.853662974434,58037.10808297932,58048.201556224296,57949.30693218494,58006.61226124659,58033.226144881315,58005.67732901247,57997.25905462215,Cattleman Wind B
18909.754949598126,18896.882378404287,18924.305177160873,18904.858051916384,18918.590989366956,18906.875806191314,18903.81215907725,18905.306428253403,18914.06094554364,Cedro Hill
14566.400915564807,14565.170075969745,14561.512649200495,14566.831474907876,14564.635281257708,14564.206686473319,14564.408382832347,14567.935538222026,14570.3166689195,Century Oak Wind
17943.52790986739,17935.56704091565,17930.385033132286,17939.892323446922,17931.867674187102,17934.188710498005,17937.670683576656,17938.310124654217,17943.769364072552,Chalupa Wind
16017.049746542927,16016.058732630265,16009.693672395975,16011.370202279619,15994.66441337766,16016.925325792206,16016.87309088374,16011.48380403839,16012.828282582175,Champion (Roscoe II) Wind Farm
121537.77954199509,121602.41133854998,121625.07813166696,121663.19593158059,121567.96245554245,121574.07783259523,121656.24058863257,121588.45663729287,121664.84304783234,Changing Winds
