ones,euclidean,minkowski1,minkowski3,cityblock,cosine,chebyshev,mahalanobis,geodistance,solar
40327.64390680638,40393.56603057948,40347.74197990213,40328.04151881047,40358.25232457212,38944.130980533766,40333.31637602379,40383.76334031193,40353.78580758082,Murphy Lake Solar
72608.25261500664,72654.73248462823,72564.30066499277,72676.64922477971,72652.4662708378,73641.67546550873,72724.31753421859,72631.3915961381,72608.28160185477,Mustang Creek Solar
169258.6398220205,169182.7279186054,169467.2936501678,169171.39538642226,169456.33527388054,170544.87228432277,169213.04248396493,169265.419810255,169192.07590229568,Myrtle Solar
157563.31197343135,157522.33828735977,157634.94151745204,157538.24469943074,157615.71700675282,131920.59092272233,157469.1702036606,157504.9907602902,157574.3640661711,Nazareth Solar
92744.74024649078,92743.61925783237,92768.24655417507,92836.78653042277,92772.76435448334,95226.62858607083,92770.41545550039,92831.06890929984,92744.09614535615,Neeley Solar
325453.76926729036,325299.18803912855,325707.8925452937,325389.54534188367,326033.825411384,261837.41092168237,325538.7986804054,324986.54320759006,325323.5260876067,Noble Solar
378629.9493048363,379088.00634397997,378888.53026153793,379280.2533523896,379158.1000192481,330118.48855845665,378911.3240889863,379108.1060504989,379222.41346833063,Normande Solar Farm
50484.41267914948,50539.6919431934,50512.468237484514,50498.24922230937,50514.162784295986,49039.18278913291,50518.84084947758,50464.84294213489,50461.783992212484,Norton Solar
102054.56237452781,102098.40373169955,102092.31913874828,102118.55393993895,102032.81058829074,101252.66065150166,102021.06842059024,101947.1841552915,102100.2734978551,Oberon Solar
14409.510568083302,14398.856148077808,14414.858438151752,14397.639408657333,14413.32158231676,11924.662375817576,14416.436813640421,14410.587552267458,14431.163857010604,Obsidian Solar
7834.336842322594,7843.566433137865,7835.7235421902415,7835.856928636004,7843.009018016089,5975.255404777878,7848.006024584186,7840.263457933178,7839.100043382215,Opal Solar
17731.144904616936,17738.075594026348,17735.206095479778,17765.061983443167,17735.200867464962,17063.300849199677,17745.49653396747,17737.70770887307,17748.084185276024,Owego Solar
139610.6433965782,139791.7610244801,139798.07096829466,139723.09718967642,139731.26429239401,147266.91532386374,139649.69393983547,139836.62967518775,139653.9627061799,Owens Solar
192842.9750690037,192800.96939627678,192647.58518923997,192882.49334942835,192700.12417903973,159340.17516353243,192535.8457697049,192772.8189911338,192657.74792514462,Oxbow Solar
734.3160282960985,734.3598080765172,734.5705054769518,733.9715533569693,734.8424210774949,700.3696515066952,735.1315596658407,734.1777899534778,734.5735634396865,Oxy Solar
38390.723194586084,38377.46247390108,38357.85010249331,38365.523530819904,38403.00023144302,41383.34830013939,38352.23415819977,38311.577052151326,38404.072689554305,Pflugerville 2 Solar
55134.255971647726,55051.10161146472,55073.873977309486,55152.217399696405,55119.74609214142,57455.31028825435,55075.77442135516,55071.997215775715,55092.69066052183,Pflugerville Solar
183394.48537187054,183674.27821441132,183508.7320267156,183495.00070956515,183404.22261476255,179062.74709139243,183386.98008158256,183500.5491063525,183510.29013449085,Phoebe Solar
23622.63791693318,23634.153047621967,23634.058056348887,23611.08173597374,23636.4282385457,21319.905669458854,23625.76839497224,23623.548993915767,23637.785167708054,Phoenix Solar
279626.94696621544,279315.9244711483,279588.47758957377,279741.2341326047,279571.6181176149,252186.0120949778,279361.9722711482,279674.2100648556,279718.6210581061,Pine Forest Solar
26530.678942940893,26501.60567939207,26507.93174304831,26478.240817755584,26509.379141214144,29526.639956067043,26507.11271911208,26491.86339785589,26491.324030543397,Pitts Dudik Solar
97993.02742144537,98124.18841500679,98025.98002267694,98150.49306708941,98029.74698277992,95592.39456117962,97956.35839028182,98041.30995442344,97969.39651198334,Ponwar Solar Farm
31073.705091304124,31095.702821251194,31061.606390151504,31059.83879981664,31076.63704366338,32076.24606857764,31080.813560569622,31036.76139837684,31051.575734085196,Prickly Pear
